Date,Monthly Average
2022-11-30,94126
2022-10-31,94163
2022-09-30,94422
2022-08-31,94545
2022-07-31,94721
2022-06-30,94782
2022-05-31,95017
2022-04-30,94351
2022-03-31,95273
2022-02-28,95299
2022-01-31,95079
2021-12-31,94804
2021-11-30,96248
2021-10-31,95891
2021-09-30,95429
2021-08-31,95100
2021-07-31,95022
2021-06-30,94993
2021-05-31,94854
2021-04-30,94304
2021-03-31,93730
2021-02-28,93241
2021-01-31,92684
2020-12-31,90760
2020-11-30,90189
2020-10-31,89593
2020-09-30,88900
2020-08-31,88225
2020-07-31,87544
2020-06-30,85995
2020-05-31,83638
2020-04-30,82126
2020-03-31,82828
2020-02-29,82633
2020-01-31,82667
2019-12-31,82718
2019-11-30,82926
2019-10-31,83181
2019-09-30,83111
2019-08-31,82958
2019-07-31,82803
2019-06-30,82615
2019-05-31,82386
2019-04-30,82227
2019-03-31,82690
2019-02-28,82561
2019-01-31,82357
2018-12-31,82186
2018-11-30,81990
2018-10-31,81886
2018-09-30,81902
2018-08-31,81693
2018-07-31,81664
2018-06-30,81546
2018-05-31,81445
2018-04-30,81360
2018-03-31,81472
2018-02-28,81699
2018-01-31,81862
2017-12-31,81997
2017-11-30,82096
2017-10-31,82156
2017-09-30,82164
2017-08-31,82067
2017-07-31,82103
2017-06-30,82133
2017-05-31,82095
2017-04-30,81954
2017-03-31,81775
2017-02-28,81581
2017-01-31,81277
2016-12-31,80805
2016-11-30,80374
2016-10-31,79905
2016-09-30,79470
2016-08-31,78958
2016-07-31,78413
2016-06-30,77697
2016-05-31,77033
2016-04-30,76526
2016-03-31,76021
2016-02-29,75287
2016-01-31,74720
2015-12-31,74232
2015-11-30,73811
2015-10-31,73430
2015-09-30,73060
2015-08-31,72788
2015-07-31,72479
2015-06-30,72240
2015-05-31,71918
2015-04-30,71602
2015-03-31,71487
2015-02-28,71081
2015-01-31,70682
2014-12-31,70299
2014-11-30,69875
2014-10-31,69416
2014-09-30,68923
2014-08-31,68503
2014-07-31,68138
2014-06-30,67935
2014-05-31,67763
2014-04-30,67495
2014-03-31,67174
2014-02-28,66979
2014-01-31,66773
2013-12-31,66663
2013-11-30,66457
2013-10-31,66238
2013-09-30,66112
2013-08-31,66001
2013-07-31,65754
2013-06-30,65536
2013-05-31,65350
2013-04-30,65051
2013-03-31,64757
2013-02-28,64348
2013-01-31,64034
2012-12-31,63762
2012-11-30,63550
2012-10-31,63382
2012-09-30,63196
2012-08-31,63168
2012-07-31,62756
2012-06-30,62424
2012-05-31,62062
2012-04-30,61841
2012-03-31,61833
2012-02-29,61558
2012-01-31,61375
2011-12-31,61260
2011-11-30,61054
2011-10-31,60765
2011-09-30,60284
2011-08-31,60074
2011-07-31,59822
2011-06-30,59626
2011-05-31,59260
2011-04-30,58904
2011-03-31,58565
2011-02-28,58357
2011-01-31,58113
2010-12-31,57837
2010-11-30,57538
2010-10-31,57257
2010-09-30,57182
2010-08-31,57000
2010-07-31,56813
2010-06-30,57257
2010-05-31,57048
2010-04-30,56865
2010-03-31,56548
2010-02-28,56256
2010-01-31,56433
2009-12-31,56079
2009-11-30,55174
2009-10-31,54930
2009-09-30,54746
2009-08-31,54333
2009-07-31,54255
2009-06-30,54093
2009-05-31,53995
2009-04-30,53953
2009-03-31,53652
2009-02-28,53273
2009-01-31,52976
2008-12-31,51904
2008-11-30,51593
2008-10-31,51130
2008-09-30,50594
2008-08-31,50206
2008-07-31,50177
2008-06-30,49999
2008-05-31,49853
2008-04-30,49676
2008-03-31,49562
2008-02-29,49229
2008-01-31,48895
2007-12-31,48507
2007-11-30,48346
2007-10-31,48257
2007-09-30,48109
2007-08-31,47775
2007-07-31,47423
2007-06-30,47333
2007-05-31,47015
2007-04-30,46586
2007-03-31,46441
2007-02-28,46198
2007-01-31,46013
2006-12-31,45865
2006-11-30,45894
2006-10-31,45783
2006-09-30,45612
2006-08-31,45626
2006-07-31,45438
2006-06-30,45159
2006-05-31,44967
2006-04-30,44936
2006-03-31,44640
2006-02-28,44394
2006-01-31,44131
2005-12-31,43605
2005-11-30,43610
2005-10-31,43430
2005-09-30,43368
2005-08-31,43425
2005-07-31,43109
2005-06-30,42731
2005-05-31,42677
2005-04-30,42636
2005-03-31,42501
2005-02-28,42509
2005-01-31,42427
2004-12-31,42263
2004-11-30,42074
2004-10-31,41921
2004-09-30,41742
2004-08-31,41375
2004-07-31,41206
2004-06-30,41146
2004-05-31,40954
2004-04-30,40681
2004-03-31,40441
2004-02-29,40173
2004-01-31,40123
2003-12-31,40032
2003-11-30,39880
2003-10-31,39575
2003-09-30,39432
2003-08-31,39278
2003-07-31,38912
2003-06-30,38649
2003-05-31,38434
2003-04-30,38116
2003-03-31,37833
2003-02-28,37588
2003-01-31,37338
2002-12-31,37315
2002-11-30,36980
2002-10-31,36917
2002-09-30,36581
2002-08-31,36411
2002-07-31,36121
2002-06-30,36198
2002-05-31,35926
2002-04-30,35548
2002-03-31,35457
2002-02-28,35338
2002-01-31,35292
2001-12-31,34912
2001-11-30,34527
2001-10-31,34125
2001-09-30,33859
2001-08-31,33579
2001-07-31,33312
2001-06-30,33073
2001-05-31,32861
2001-04-30,32889
2001-03-31,32932
2001-02-28,32745
2001-01-31,32667
2000-12-31,32265
2000-11-30,31991
2000-10-31,31790
2000-09-30,31549
2000-08-31,31274
2000-07-31,31062
2000-06-30,30936
2000-05-31,30757
2000-04-30,30577
2000-03-31,30410
2000-02-29,30216
2000-01-31,30136
1999-12-31,30043
1999-11-30,29652
1999-10-31,29428
1999-09-30,29251
1999-08-31,29223
1999-07-31,29030
1999-06-30,28766
1999-05-31,28529
1999-04-30,28260
1999-03-31,27985
