CountryName,GDPpercap,lifesat,log_gdp
Albania,5396.2159,5.1174,8.593453228
Algeria,4022.1502,4.8871,8.299571914
Argentina,9963.6725,5.9293,9.206701008
Armenia,4828.5052,5.2826,8.482292216
Australia,54941.434,7.1835,10.91402306
Austria,50070.403,7.2678,10.82118535
Azerbaijan,4805.7537,5.1708,8.477569167
Bahrain,25869.113,6.6469,10.16080499
Bangladesh,2122.0789,5.0246,7.6601515
Belarus,6837.7178,5.5335,8.8302093
Belgium,46638.681,6.834,10.75018554
Benin,1170.9655,5.0452,7.065583901
Bolivia,3472.3808,5.7159,8.152595747
Bosnia and Herzegovina,6011.3707,5.8131,8.701408071
Botswana,6679.1677,3.4665,8.806748663
Brazil,8845.2591,6.3301,9.0876369
Bulgaria,9879.3343,5.2655,9.19820041
Burkina Faso,772.16689,4.8338,6.649200705
Burundi,216.97297,3.7753,5.379772784
Cambodia,1671.3854,4.8304,7.421408142
Cameroon,1538.6879,5.1418,7.338685319
Canada,46328.672,7.1033,10.74351631
Chad,701.62122,4.3554,6.553393686
Chile,14631.947,6.1719,9.590962568
China,10143.838,5.3391,9.224621707
Colombia,6438.0602,6.0124,8.769982563
Comoros,1510.7974,4.2886,7.32039287
Costa Rica,12669.341,7.0694,9.446940259
Cote d'Ivoire,2238.811,5.306,7.7137002
Croatia,15331.883,5.8817,9.637689795
Cyprus,29417.139,6.2235,10.28933274
Czechia,23664.848,6.9647,10.07174602
Denmark,59592.981,7.6195,10.99529308
Dominican Republic,8173.338,5.5451,9.008632672
Ecuador,6233.2582,5.764,8.737654461
El Salvador,4280.2884,6.0605,8.361775669
Estonia,23424.485,6.1888,10.06153712
Eswatini,3843.3774,4.3081,8.25410679
Ethiopia,840.44945,4.2747,6.733936808
Finland,48629.858,7.8421,10.79199298
France,40494.898,6.6899,10.60893127
Gabon,7523.8623,4.8518,8.925834889
Georgia,4696.1506,4.8914,8.454498431
Germany,46793.687,7.1545,10.75350358
Ghana,2167.9116,5.0884,7.681519587
Greece,19144.284,5.7226,9.859759464
Guatemala,4647.6933,6.4345,8.444126311
Guinea,1043.8999,4.9843,6.950718883
Haiti,1324.844,3.6149,7.189049996
Honduras,2519.3702,5.9192,7.831764229
Hungary,16782.952,5.9916,9.728118888
Iceland,68853.715,7.5539,11.13973946
India,2047.2327,3.8189,7.624244258
Indonesia,4151.2275,5.3445,8.331159353
Iraq,5621.1817,4.8541,8.634297188
Ireland,80927.075,7.0853,11.30130372
Israel,44452.233,7.1571,10.70217048
Italy,33673.751,6.4831,10.42447391
Jamaica,5626.1712,6.3092,8.635184419
Japan,40458.002,5.9405,10.60801973
Jordan,4205.5637,4.3946,8.344163618
Kazakhstan,9812.5958,6.1518,9.191422125
Kenya,1970.1051,4.6066,7.585842171
Kosovo,4416.1084,6.372,8.393014135
Kuwait,30667.348,6.1061,10.33095378
Latvia,17945.222,6.032,9.795079175
Lebanon,8985.5725,4.5838,9.103375514
Lesotho,1102.5649,3.5118,7.005394472
Liberia,665.87845,4.6252,6.501107146
Libya,10542.149,5.4103,9.263136691
Lithuania,19595.142,6.2554,9.883036957
Luxembourg,112621.82,7.3244,11.63179076
Madagascar,512.27966,4.2085,6.238870687
Malawi,584.36287,3.6,6.370522143
Malaysia,11132.024,5.3843,9.317581279
Maldives,11118.557,5.1976,9.316370793
Mali,840.17576,4.7235,6.733611108
Malta,31198.241,6.602,10.34811699
Mauritania,1839.9644,4.2274,7.517501503
Mauritius,11405.727,6.049,9.341870877
Mexico,10145.17,6.3168,9.224753009
Moldova,4493.3703,5.7664,8.410358323
Mongolia,4394.9471,5.6772,8.388210774
Montenegro,8909.6533,5.5805,9.094890608
Morocco,3498.574,4.918,8.160110736
Mozambique,508.16367,4.7945,6.230803581
Myanmar,1295.2014,4.4258,7.166421483
Namibia,5126.1761,4.5741,8.542115261
Nepal,1185.6827,5.2689,7.078074006
Netherlands,52476.273,7.464,10.8681164
New Zealand,42865.234,7.2766,10.66581638
