country,gini,cpi,rank,gdppercap,log_gdp
"Albania",33.1,35,110,6492.872,8.778461
"Argentina",41.1,38,96,10636.12,9.272011
"Armenia",33.6,49,58,4966.514,8.510473
"Austria",29.7,74,13,53637.71,10.89001
"Belarus",25.4,41,82,7302.258,8.895939
"Belgium",27.4,73,18,51247.02,10.84441
"Bhutan",37.4,68,25,3266.365,8.091433
"Bolivia",44.6,30,128,3345.197,8.115281
"Brazil",53.3,38,96,7507.161,8.923613
"Bulgaria",40.4,42,78,12221.5,9.410952
"Canada",33.3,74,13,51987.94,10.85877
"Chile",44.4,67,27,16265.1,9.696777
"China",39.1,45,66,12556.33,9.437981
"Colombia",49.7,39,87,6104.137,8.716722
"Costa Rica",48.3,58,39,12472.44,9.431276
"Croatia",30.4,47,63,17685.32,9.78049
"Cyprus",31.4,53,52,31551.82,10.35939
"Denmark",28.7,88,1,68007.76,11.12738
"Djibouti",41.6,30,128,3150.437,8.055297
"Dominican Republic",42.2,30,128,8476.752,9.045083
"Ecuador",44.7,36,105,5965.133,8.693686
"El Salvador",38,34,115,4551.185,8.423143
"Estonia",30.4,74,13,27943.7,10.23795
"Finland",27.4,88,1,53654.75,10.89033
"France",31.6,71,22,43658.98,10.68416
"Gabon",38,31,124,8635.326,9.063617
"Georgia",37.9,55,45,5023.274,8.521837
"Germany",31.2,80,10,51203.55,10.84356
"Greece",34.4,49,58,20192.6,9.913072
"Honduras",49.4,23,157,2771.718,7.927223
"Hungary",30.6,43,73,18728.12,9.837781
"Iceland",26.1,74,13,68727.64,11.13791
"India",35.9,40,85,2256.59,7.72161
"Indonesia",38.8,38,96,4332.709,8.373948
"Ireland",31.4,74,13,100172.1,11.51464
"Israel",38.2,59,36,52170.71,10.86228
"Italy",35.9,56,42,35657.5,10.48172
"Kazakhstan",27.5,37,102,10373.79,9.247038
"Kosovo",29,39,87,5269.784,8.569745
"Latvia",35.6,59,36,21148.16,9.959309
"Lesotho",44.9,38,96,1094.098,6.997685
"Lithuania",37.3,61,34,23723.34,10.07421
"Luxembourg",34.5,81,9,133590.2,11.80253
"Macedonia",34.2,39,87,6694.641,8.809063
"Malta",29.2,54,49,33486.67,10.4189
"Mauritius",36.8,54,49,9106.237,9.116714
"Moldova",25.9,36,105,5230.662,8.562293
"Montenegro",36.9,46,64,9465.704,9.155431
"Myanmar",30.7,28,140,1209.927,7.098315
"Netherlands",28.5,82,8,57767.88,10.96419
"Norway",27,85,4,89154.27,11.39812
"Panama",49.9,36,105,14617.6,9.589982
"Paraguay",48.5,30,128,5891.5,8.681266
"Peru",43.3,36,105,6621.574,8.798088
"Poland",29.7,56,42,17999.91,9.798122
"Portugal",33.8,62,32,24567.51,10.10918
"Romania",36,45,66,14858.23,9.606309
"Russia",37.2,29,136,12194.78,9.408763
"Sao Tome and Principe",40.7,45,66,2360.544,7.766647
"Slovakia",23.2,52,56,21391.93,9.970769
"Slovenia",24.2,57,41,29291.4,10.28505
"Somalia",36.8,13,178,446.9816,6.102518
"Spain",34.7,61,34,30103.51,10.3124
"Sweden",28.8,85,4,61028.74,11.0191
"Switzerland",32.7,84,7,91991.6,11.42945
"Thailand",36.5,35,110,7066.19,8.863077
"Turkey",41.4,38,96,9661.236,9.175877
"Ukraine",26,32,122,4835.572,8.483755
"United Kingdom",35.1,78,11,46510.28,10.74743
"Uruguay",39.5,73,18,17313.19,9.759224
"Zimbabwe",44.3,23,157,1773.92,7.480947
